a=147.229.150.101, p=50000, s=0, n1=75, n2=75
a=147.229.150.101, p=50000, s=1, n1=75, n2=76
a=147.229.150.101, p=50000, s=2, n1=75, n2=77
a=147.229.150.101, p=50000, s=3, n1=75, n2=78
a=147.229.150.101, p=50000, s=4, n1=75, n2=79
a=147.229.150.101, p=50000, s=0, n1=75, n2=75
a=147.229.150.101, p=50000, s=1, n1=75, n2=76
a=147.229.150.101, p=50000, s=2, n1=75, n2=77
a=147.229.150.101, p=50000, s=3, n1=75, n2=78
a=147.229.150.101, p=50000, s=4, n1=75, n2=79
a=147.229.150.101, p=50000, s=0, n1=75, n2=75
a=147.229.150.101, p=50000, s=1, n1=75, n2=76
a=147.229.150.101, p=50000, s=2, n1=75, n2=77
a=147.229.150.101, p=50000, s=3, n1=75, n2=78
a=147.229.150.101, p=50000, s=4, n1=75, n2=79
